SignatureTime	PrioritizationTime	APFD	TimeToDetect
3.156072	0.008997	0.18	0.332
3.156072	0.0101	0.812	0.023
3.156072	0.0101	0.092	0.344
3.156072	0.0101	0.612	0.028
3.156072	0.0101	0.092	0.344
3.156072	0.0101	0.084	0.347
3.156072	0.0101	0.796	0.002
3.156072	0.0101	0.268	0.32
3.156072	0.0101	0.436	0.023
3.156072	0.0101	0.436	0.023
3.156072	0.0101	0.364	0.32
3.156072	0.0101	0.868	0.023
3.156072	0.0101	0.324	0.32
3.156072	0.0101	0.86	0.023
3.156072	0.0101	0.148	0.326
3.156072	0.0101	0.652	0.002
3.156072	0.0101	0.268	0.32
3.156072	0.0101	0.98	0.068
3.156072	0.0101	0.044	0.398
3.156072	0.0101	0.98	0.068
3.156072	0.0101	0.46	0.062
3.156072	0.0101	0.436	0.023
3.156072	0.0101	0.188	0.327
3.156072	0.0101	0.436	0.023
3.156072	0.0101	0.268	0.32
3.156072	0.0101	0.98	0.068
3.156072	0.0101	0.98	0.068
3.156072	0.0101	0.14	0.332
3.156072	0.00935	0.884	0.023
3.156072	0.00935	0.092	0.344
3.156072	0.00935	0.604	0.028
3.156072	0.00935	0.092	0.344
3.156072	0.00935	0.1	0.347
3.156072	0.00935	0.812	0.002
3.156072	0.00935	0.26	0.32
3.156072	0.00935	0.436	0.023
3.156072	0.00935	0.436	0.023
3.156072	0.00935	0.98	0.32
3.156072	0.00935	0.876	0.023
3.156072	0.00935	0.356	0.32
3.156072	0.00935	0.9	0.023
3.156072	0.00935	0.148	0.326
3.156072	0.00935	0.788	0.002
3.156072	0.00935	0.26	0.32
3.156072	0.00935	0.46	0.068
3.156072	0.00935	0.044	0.398
3.156072	0.00935	0.46	0.068
3.156072	0.00935	0.468	0.062
3.156072	0.00935	0.436	0.023
3.156072	0.00935	0.188	0.327
3.156072	0.00935	0.436	0.023
3.156072	0.00935	0.26	0.32
3.156072	0.00935	0.46	0.068
3.156072	0.00935	0.46	0.068
3.156072	0.00935	0.14	0.332
3.156072	0.009117	0.94	0.023
3.156072	0.009117	0.092	0.344
3.156072	0.009117	0.612	0.028
3.156072	0.009117	0.092	0.344
3.156072	0.009117	0.084	0.347
3.156072	0.009117	0.844	0.002
3.156072	0.009117	0.236	0.32
3.156072	0.009117	0.436	0.023
3.156072	0.009117	0.436	0.023
3.156072	0.009117	0.388	0.32
3.156072	0.009117	0.652	0.023
3.156072	0.009117	0.332	0.32
3.156072	0.009117	0.82	0.023
3.156072	0.009117	0.148	0.326
3.156072	0.009117	0.884	0.002
3.156072	0.009117	0.236	0.32
3.156072	0.009117	0.46	0.068
3.156072	0.009117	0.044	0.398
3.156072	0.009117	0.46	0.068
3.156072	0.009117	0.468	0.062
